RS 40:472
Powers of housing authority; securing payment of bonds or lease obligations
https://www.legis.la.gov/legis/Law.aspx?d=98519

§472.  Powers of housing authority; securing payment of bonds or lease obligations
A.  In connection with the issuance of bonds or the incurring of obligations and in order to secure the payment of such bonds or obligations, a housing authority may:
(1)  Pledge all or any part of its gross or net rents, fees, or revenues to which its right then exists or thereafter comes into existence.
(2)  Mortgage its real or personal property, then owned or thereafter acquired.
(3)  Covenant and agree against pledging all or any part of its returns, fees, and revenues, or against mortgaging all or any part of its real or personal property to which its right or title then exists or may thereafter come into existence or against permitting or suffering any lien on such revenues or property.
(4)  Covenant and agree with respect to limitations on its right to sell, lease, or otherwise dispose of any development or any part thereof.
(5)  Covenant and agree as to what other or additional debts or obligations may be incurred by it.
(6)  Covenant and agree as to the bonds to be issued and as to the issuance of such bonds in escrow or otherwise, and as to the use and disposition of the proceeds thereof.
(7)  Provide for the replacement of lost, destroyed, or mutilated bonds.
(8)  Covenant and agree against extending the time for the payment of its bonds or interest thereon.
(9)  Redeem the bonds and covenant for their redemption and provide the terms and conditions thereof.
(10)  Covenant and agree, subject to the limitations of this Chapter, as to the rents and fees to be charged in the operation of a development or developments, the amount to be raised each year or other period of time by rents, fees, and other revenues, and as to the use and disposition to be made thereof.
(11)  Create or authorize the creation of special funds for monies held for construction or operating costs, debt service, reserves, or other purposes, and covenant as to the use and disposition of the monies held in such funds.
(12)  Prescribe the procedure, if any, by which the terms of any contract with bondholders may be amended or abrogated, the minimum required amount of bonds that must be held by holders consenting to an amendment or abrogation in order to authorize the same, and the manner in which such consent may be given.
(13)  Covenant and agree as to the use, maintenance, and replacement of its real and personal property, the insurance to be carried thereon and the use and disposition of insurance monies.
(14)  Covenant and agree as to the rights, liabilities, powers, and duties arising upon the breach by it of any covenant, condition, or obligation.
(15)  Covenant, agree, and prescribe as to events of default and terms and conditions upon which any or all of its bonds or obligations become or may be declared due before maturity, and as to the terms and conditions upon which such declaration and its consequences may be waived.
(16)  Vest in a trustee or trustees of the holders of bonds or any proportion of them the right to enforce the payment of the bonds or any covenants securing or relating to the bonds.
(17)  Vest in a trustee or trustees the right, in the event of a default by the authority, to take possession and use, operate, and manage any housing development or part thereof, and to collect the rents and revenues arising therefrom and to dispose of such monies in accordance with the agreement of the housing authority with the trustee.
(18)  Provide for the powers and duties of the trustee and to limit their liabilities.
(19)  Provide the terms and conditions upon which the trustee or the holders of bonds or any proportion of them may enforce any covenant or rights securing or relating to the bonds.
(20)  Purchase letters of credit, bond insurance, or any other credit enhancement device that would establish or increase marketability of its bonds.
(21)  Pay its obligations with income, revenues, or loan repayments of the development financed with the proceeds of such obligations, or with such proceeds together with a grant from the federal government, or this state, or any public agency thereof, in aid of such development.
(22)  Exercise all or any part or combination of the powers granted in this Section.
(23)  Make covenants and agreements other than and in addition to the covenants expressly authorized in this Section, of like or different character.
(24)  Make any covenants and agreements and do any acts and things necessary or convenient or desirable in order to secure its bonds, or, in the absolute discretion of said authority, to assure the marketability of its bonds, although the covenants, acts or things are not enumerated in this Section.
B.  A local housing authority may waive any one or more of the powers stated in this Section; however, any such waiver shall be by resolution duly adopted by the affirmative vote of a majority of the board, which resolution shall set forth the particular circumstances which, in the judgment of the housing authority warrant such waiver.
Amended by Acts 1950, No. 401, §16; Acts 1997, No. 1188, §1.
